"ID","LABEL","ADDRESS","PHONE","SCHOOLNO","WWW","EMAIL","FAX","SCHOOL_TYPE","BUILDDATE","ELDERATE","GIS_X","GIS_Y"
"95","Pusaite","Bistrycios g. 3, Vilnius","234 3900,","190025890",,"rastine@pusaite.vilnius.lm.lt",,"Valstybinis darzelis","1970-11-28","Antakalnio","584953","6064073"
"96","Pusynelis","Miglos g. 53, Vilnius","275 1891,","190016884",,"rastine@pusynelis.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","zveryno","580031","6063459"
"97","Raktelis","A. P. Kavoliuko g. 12, Vilnius","245 6888, 245 1745","190028662",,"rastine@raktelis.vilnius.lm.lt",,"Valstybinis darzelis","1976-02-01","Karoliniskiu","578273","6063036"
"98","Rasa","M. Dauksos g. 15, Vilnius","261 8913,","190013055",,"rastine@rasa.vilnius.lm.lt",,"Valstybinis darzelis","1995-09-01","Senamiescio","583570","6060531"
"99","Rugelis","Kovo 11-osios g. 29A, Grigiskes, Vilnius","247 7259,","190648058",,"rastine@rugelis.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","Grigiskiu","570488","6059756"
"100","Riesutelis","Erfurto g. 21, Vilnius","244 7748, 244 9887,","190013621",,"rastine@riesutelis.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","Lazdynu","577783","6060722"
"101","Rytas","Architektu g. 162, Vilnius","244 9798, 244 9796,","190026316",,"rastine@rytas.vilnius.lm.lt",,"Valstybinis darzelis","1960-01-01","Lazdynu","578425","6061623"
"102","Ramunele","zirmunu g. 10, Vilnius","275 8424(DIR), 275 2083, 8 620 44 936,","190021155",,"rastine@ramunele.vilnius.lm.lt",,"Valstybinis darzelis","1989-05-01","zirmunu","583684","6063400"
"103","Ruta","zirmunu g. 50, Vilnius","279 7700, 279 7702,","9002096",,"rastine@ruta.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Verkiu","583954","6063864"
"104","Sadute","Z.Sierakausko g. 28, Vilnius","233 7782, 233 3770,","190017986",,"rastine@sadute.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-07","Naujamiescio","581487","6061537"
"105","Sakalelis","S.Staneviciaus g. 86, Vilnius","247 5250,","190033314",,"rastine@sakalelis.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-06","Fabijoniskiu","580738","6066422"
"106","Salininku","Kalviskiu g. 1, Salininkai, Vilnius","235 8355, 8 606 03 391,","191326124",,"rastine@salininkai.vilnius.lm.lt",,"Valstybinis darzelis","1922-01-13","Naujininku","581325","6052946"
"107","Salvija","J. Jasinskio g. 17, Vilnius","249 6223,","190019460",,"rastine@salvija.vilnius.lm.lt",,"Valstybinis darzelis","1989-11-14","Naujamiescio","581258","6062104"
"108","Sauletekis","Geniu g. 12, Vilnius","267 0832, 267 3731","190014157",,"rastine@sauletekis.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Naujosios Vilnios","591681","6062346"
"109","Skroblinukas","Skroblu g. 13, Vilnius","213 3244,","190014680",,"rastine@skroblinukas.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-15","Vilkpedes","580837","6060045"
"110","Smalsuciai","Minties g. 40, Vilnius","275 2004, 275 2119,","190025552",,"rastine@smalsuciai.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Verkiu","583483","6063682"
"111","Spindulelis","Kliniku g. 5, Vilnius","234 2398,","190018216",,"rastine@spindulelis.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Antakalnio","584673","6064327"
"112","Spragtukas","zirmunu g. 108, Vilnius","277 1762 (dir.), 277 2917,","190011613",,"rastine@spragtukas.vilnius.lm.lt",,"Valstybinis darzelis","1967-12-10","zirmunu","583825","6066278"
"113","Strazdelis","I. simulionio g. 14/15, Vilnius","242 2464, 246 0234,","190028477",,"rastine@strazdelis.vilnius.lm.lt",,"Valstybinis darzelis","1974-03-01","Karoliniskiu","579213","6063215"
"114","Sveikuolis","Dukstu g.14, Vilnius","(8-5) 2416045, 8 618 57 569","190030161",,"rastine@sveikuolis.vilnius.lm.lt","(8-5) 2422827","Valstybinis darzelis","1985-12-13","seskines","580111","6064690"
"115","sermuksnele","Didlaukio g. 66, Vilnius","277 9829, 277 9805,","290029950",,"rastine@sermuksnele.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Verkiu","581924","6066405"
"116","sypsena","P. Visinskio g. 23, Vilnius","261 1168,","190011766",,"rastine@sypsena.vilnius.lm.lt",,"Valstybinis darzelis","2012-09-12","Senamiescio","584155","6060511"
"117","snekutis","Vytenio g. 41, Vilnius","213 0484, 213 0485,","190017267",,"rastine@snekutis.vilnius.lm.lt",,"Valstybinis darzelis","1199-01-13","Naujamiescio","581507","6060541"
"118","Uzupiukas","Filaretu g. 19, Vilnius","215 4902,","190022442",,"rastine@uzupiukas.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-07","Senamiescio","584234","6061661"
"119","Vaidilute","Rinktines g. 5B, Vilnius","275 4317 (direktore), 275 1354,","190015978",,"rastine@vaidilutes.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","zirmunu","583062","6063132"
"120","Vandenis","P. zadeikos g. 14A, Vilnius","248 3636, 248 3633,","190033990",,"rastine@vandenis.vilnius.lm.lt",,"Valstybinis darzelis","1960-01-01","Fabijoniskiu","579871","6067055"
"121","Varpelis","Ukmerges g. 204, Vilnius","242 2845, 241 7020,","190030019",,"rastine@varpelis.vilnius.lm.lt",,"Valstybinis darzelis","1960-01-01","seskines","580302","6064729"
"122","Vejelis","Gabijos g. 21 Vilnius","247 1648, 247 3656,","190032899",,"rastine@vejelis.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Pasilaiciu","578763","6066861"
"123","Vetrunge","Gardino g. 8, Vilnius","261 9151, 2619160","190028096",,"rastine@vetrunge.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","Rasu","583891","6059613"
"124","Vilnele","Pergales g. 20, Vilnius","267 5425 (dir.), 267 0734, 861008562","190023544",,"rastine@vilnele.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","Naujosios Vilnios","591050","6062147"
"125","Verinelis","S.Staneviciaus g. 68, Vilnius","247 9129,","190033848",,"rastine@verinelis.vilnius.lm.lt",,"Valstybinis darzelis","1989-09-01","Fabijoniskiu","580732","6066291"
"126","Viltene","Gerosios Vilties g. 7A, Vilnius","233 7649, 8 615 96 791,","190014538",,"rastine@viltene.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-06","Vilkpedes","580171","6059971"
"127","Voveraite","Jurates g. 4A, Vilnius","234 3693, 234 6068,","190012868",,"rastine@voveraite.vilnius.lm.lt",,"Valstybinis darzelis","1960-01-01","Antakalnio","584798","6063154"
"128","Traku Voke","E. Andre g. 6, Traku Voke, Vilnius","264 5142,","291326310",,"rastine@trakuvoke.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-01","Paneriu","571717","6055244"
"129","Zylute","Justiniskiu g. 45, Vilnius","241 0220, 241 0237,","190029198",,"rastine@zylute.vilnius.lm.lt",,"Valstybinis darzelis","1981-04-21","Virsuliskiu","578692","6063900"
"130","zelmeneliai","saltkalviu g. 30, Vilnius","216 4970, 216 5085 (dir.)","190023359",,"rastine@zelmeneliai.vilnius.lm.lt",,"Valstybinis darzelis","2013-11-13","Naujininku","581955","6058911"
"131","zemyna","zemynos g. 13, Vilnius","247 1618, 247 0787,","190032027",,"rastine@zemyna.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","Pasilaiciu","579220","6066005"
"132","zemuogele","Architektu g. 108, Vilnius","244 7450, 244 8012,","9001119",,"rastine@zemuogele.vilnius.lm.lt",,"Valstybinis darzelis","2013-03-13","Lazdynu","577330","6060702"
"133","zibute","Architektu g. 62, Vilnius","244 2570(dir.), 240 2823,","290023730",,"rastine@zibute.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-21","Lazdynu","578099","6060142"
"134","ziedas","zemynos g. 41, Vilnius","247 1735,","190032212",,"rastine@ziedas.vilnius.lm.lt",,"Valstybinis darzelis","1998-11-12","Pasilaiciu","579182","6066420"
"135","zilvitis","Virsuliskiu g. 9, Vilnius","241 0224, 241 6714 (dir.)","190022823",,"rastine@zilvitis.vilnius.lm.lt",,"Valstybinis darzelis","2014-03-01","Virsuliskiu","579066","6064823"
"136","zilvinelis","Taikos g. 130, Vilnius","242 9558, 241 9212 (dir.)","190015825",,"rastine@zilvinelis.vilnius.lm.lt",,"Valstybinis darzelis","2013-12-02","Justiniskiu","578345","6065108"
"137","ziogelis","J. Kolaso g. 15, Vilnius","267 0969, 267 3869, 8 620 35 031,","190013774",,"rastine@ziogelis.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Naujosios Vilnios","587518","6060127"
"138","zolynelis","zolyno g. 44, Vilnius","234 3772, 234 3400,","190023163",,"rastine@zolynelis.vilnius.lm.lt",,"Valstybinis darzelis vaikam su negalia","1975-06-27","Visos seniunijos","586289","6064326"
"139","zuvedra","Parko g. 8A, Vilnius","267 3643, 267 3653","190017648",,"rastine@zuvedra.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Naujosios Vilnios","591153","6062362"
"140","zvangutis","Rinktines g. 38A, Vilnius","275 3615,","190017833",,"rastine@zvangutis.vilnius.lm.lt",,"Valstybinis darzelis","1987-12-12","Verkiu","582825","6063129"
"141","zirniukas","Verkiu g. 17, Vilnius","276 5666, 275 2646, 8 620 42 382, 862936737","190018892",,"rastine@zirniukas.vilnius.lm.lt",,"Valstybinis darzelis","1964-03-14","Verkiu","582987","6064149"
"142","Ausra","Medeinos g. 5, Vilnius","247 0411,","190032365",,"rastine@ausros.vilnius.lm.lt",,"Valstybinis darzelis","1980-07-17","Pasilaiciu","578753","6066482"
"143","Berzelis","Taikos 187, Vilnius","241 6476, 2429252, dir.868935423","190026120",,"rastine@berzelis.vilnius.lm.lt",,"Valstybinis darzelis","1111-11-11","Justiniskiu","578102","6064814"
"144","Peledziukas","Lentvario g. 1, Grigiskes, Vilnius","243 2345,","190648396",,"rastine@peledziukas.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-06","Grigiskiu","569718","6060359"
"145","Saulute","Miglos g. 1, Vilnius","275 6056, 275 8480,","190022061",,"rastine@saulute.vilnius.lm.lt",,"Valstybinis darzelis","1970-03-21","zveryno","580537","6063793"
"146","Svaja","Architektu g. 210, Vilnius","244 3730,","190026654",,"rastine@svajos.vilnius.lm.lt",,"Valstybinis darzelis","2000-02-12","Lazdynu","578652","6061055"
"147","silelis","Sietyno g. 5, Vilnius","244 4411(dir), 245 9800,","290026840",,"rastine@silelis.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-21","Karoliniskiu","577294","6061684"
"148","Vaivorykste","Tuskulenu g. 42, Vilnius","273 2255, 273 3781,","190013393",,"rastine@vaivorykste.vilnius.lm.lt",,"Valstybinis darzelis","2013-02-01","zirmunu","583236","6063314"
"149","Vaduvos","Vaduvos g. 14A, Vilnius","232 2877,","290013960",,"rastine@vaduvos.vilnius.lm.lt",,"Valstybinis darzelis","1991-03-13","Paneriu","577898","6056378"
"150","Vilkpedes","Gerosios Vilties g. 15, Vilnius","233 9838, 233 2640,","190016699",,"rastine@vilkpedes.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-06","Vilkpedes","580272","6059882"
"151","ziburelis","Laisves pr. 46, Vilnius","242 3917,","290028510",,"rastine@ziburelis.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-21","Karoliniskiu","578464","6063037"
"152","Justinukas","Taikos g. 99, Vilnius","242 2439, 8 620 43 617,","190016731",,"rastine@justinukas.vilnius.lm.lt",,"Valstybinis darzelis","1984-04-24","Justiniskiu","578141","6065757"
"153","Aidas","Lakstingalu g. 8, Vilnius","+370 5 277 7958","9001779",,"rastine@aidas.vilnius.lm.lt","+370 5 277 7983","Valstybinis darzelis vaikam su negalia","1998-11-14","Visos seniunijos","585334","6066829"
"154","Bangele","zemaites g. 3. Vilnius","213 4194, 213 4192, 868240354","190020434",,"rastine@bangele.vilnius.lm.lt",,"Valstybinis darzelis","2013-03-06","Vilkpedes","580757","6060388"
"155","Gelynas","Geliu g. 9A, Vilnius","213 5983, 233 2546,","190012334",,"rastine@gelynas.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-01","Senamiescio","582724","6060442"
"156","Obelele","Architektu g. 204, Vilnius","244 2969, 244 3473","190023882",,"rastine@obelele.vilnius.lm.lt",,"Valstybinis darzelis","2012-09-12","Lazdynu","578692","6061258"
"157","Spygliukas","Architektu g. 16, Vilnius","244 2179,","190022595",,"rastine@spygliukas.vilnius.lm.lt",,"Valstybinis darzelis","1986-05-30","Lazdynu","578449","6060560"
"158","Vieversys","zirmunu g. 89, Vilnius","277 0626, 277 0736","190020815",,"rastine@vieversys.vilnius.lm.lt",,"Valstybinis darzelis","1960-01-01","zirmunu","584093","6065626"
"159","zirmuneliai","zirmunu g. 13, Vilnius","276 6397, 27663 98 (dir)","290020620",,"rastine@zirmuneliai.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-01","Verkiu","584179","6064686"
"160","Dainoreliai","Ankstoji g. 11, Vilnius","249 7572,","190012291",,"rastine@dainoreliai.vilnius.lm.lt",,"Valstybinis darzelis","1996-01-02","Naujamiescio","581591","6062278"
"161","Lokiukas","I. simulionio g. 8, Vilnius","245 5798,","190028139",,"rastine@lokiukas.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-21","Karoliniskiu","578971","6062788"
"162","saltinelis","saltkalviu g. 13, Vilnius","216 6071, 216 6072,","190021689",,"rastine@saltinelis.vilnius.lm.lt",,"Valstybinis darzelis","1992-01-13","Naujininku","581916","6059207"
"163","Gabijele","Gabijos g. 1, Vilnius","247 1925","190033271",,"rastine@gabijele.vilnius.lm.lt","247 1981, 2471925 (dir)","Valstybinis darzelis","1989-08-01","Pasilaiciu","579033","6066898"
"164","Saulegraza","Taikos g. 31, Vilnius","247 4182, 241 4130, 241 4129","190027560",,"rastine@saulegraza.vilnius.lm.lt",,"Valstybinis darzelis","1961-01-01","Justiniskiu","579285","6065577"
"165","Pilaitukas","I. Kanto al. 7A, Vilnius","250 5715, 2505719 dir.","301879757",,"rastine@pilaitukas.vilnius.lm.lt",,"Valstybinis darzelis","2013-01-21","Pilaites","576320","6063638"
"166","Vilija","Taikos g. 15, Vilnius","242 6440, 242 6441,","190022976",,"rastine@vilija.vilnius.lm.lt",,"Valstybinis darzelis","1980-12-14","Justiniskiu","579249","6065426"
"167","Viltis","I. simulionio g. 6, Vilnius","244 2622,","190034188",,"rastine@viltis.vilnius.lm.lt",,"Valstybinis darzelis vaikam su negalia","1960-01-01","Visos seniunijos","578819","6062722"
"168","Naujuju verkiu","Popieriaus g. 46A, Vilnius","230 9840,","190012149",,"rastine@naujujuverkiu.vilnius.lm.lt",,"Valstybinis darzelis","1960-11-27","Verkiu","586127","6070424"
"169","svelnukas","zalgirio g. 115, Vilnius","276 6342,","190019656",,"rastine@svelnukas.vilnius.lm.lt",,"Valstybinis darzelis","1960-01-01","snipiskiu","582485","6063923"
